Thread 1: 23:34:18.497, Counter: 83
Thread 2: 23:34:18.623, Counter: 83
Thread 1: 23:34:18.762, Counter: 84
Thread 3: 23:34:18.903, Counter: 84
Thread 1: 23:34:19.026, Counter: 85
Thread 2: 23:34:19.135, Counter: 85
Thread 1: 23:34:19.291, Counter: 86
Thread 1: 23:34:19.556, Counter: 87
Thread 2: 23:34:19.650, Counter: 87
Thread 1: 23:34:19.821, Counter: 88
Thread 3: 23:34:19.914, Counter: 88
Thread 1: 23:34:20.084, Counter: 89
Thread 2: 23:34:20.160, Counter: 89
Thread 1: 23:34:20.349, Counter: 90
Thread 1: 23:34:20.613, Counter: 91
Thread 2: 23:34:20.675, Counter: 91
Thread 1: 23:34:20.876, Counter: 92
Thread 3: 23:34:20.924, Counter: 92
Thread 1: 23:34:21.127, Counter: 93
Thread 2: 23:34:21.177, Counter: 93
Thread 1: 23:34:21.391, Counter: 94
Thread 1: 23:34:21.657, Counter: 95
Thread 2: 23:34:21.688, Counter: 95
Thread 1: 23:34:21.919, Counter: 96
Thread 3: 23:34:21.936, Counter: 96
Thread 1: 23:34:22.172, Counter: 97
Thread 2: 23:34:22.201, Counter: 97
Thread 1: 23:34:22.436, Counter: 98
Thread 1: 23:34:22.702, Counter: 99
Thread 2: 23:34:22.717, Counter: 99
Thread 3: 23:34:22.947, Counter: 99
Thread 1: 23:34:22.963, Counter: 100
Thread 1: 23:34:23.226, Counter: 101
Thread 2: 23:34:23.226, Counter: 101
Thread 1: 23:34:23.490, Counter: 102
Thread 2: 23:34:23.739, Counter: 102
Thread 1: 23:34:23.755, Counter: 103
Thread 3: 23:34:23.959, Counter: 103
Thread 1: 23:34:24.007, Counter: 104
Thread 2: 23:34:24.253, Counter: 104
Thread 1: 23:34:24.270, Counter: 105
Thread 1: 23:34:24.535, Counter: 106
Thread 2: 23:34:24.755, Counter: 106
Thread 1: 23:34:24.788, Counter: 107
Thread 3: 23:34:24.972, Counter: 107
Thread 1: 23:34:25.051, Counter: 108
Thread 2: 23:34:25.268, Counter: 108
Thread 1: 23:34:25.314, Counter: 109
Thread 1: 23:34:25.579, Counter: 110
Thread 2: 23:34:25.783, Counter: 110
Thread 1: 23:34:25.830, Counter: 111
Thread 3: 23:34:25.985, Counter: 111
Thread 1: 23:34:26.093, Counter: 112
Thread 2: 23:34:26.298, Counter: 112
Thread 1: 23:34:26.345, Counter: 113
Thread 1: 23:34:26.609, Counter: 114
Thread 2: 23:34:26.814, Counter: 114
Thread 1: 23:34:26.864, Counter: 115
Thread 3: 23:34:27.000, Counter: 115
Thread 1: 23:34:27.126, Counter: 116
Thread 2: 23:34:27.328, Counter: 116
Thread 1: 23:34:27.391, Counter: 117
Thread 1: 23:34:27.655, Counter: 118
Thread 2: 23:34:27.842, Counter: 118
Thread 1: 23:34:27.920, Counter: 119
Thread 3: 23:34:28.013, Counter: 119
Thread 1: 23:34:28.181, Counter: 120
Thread 2: 23:34:28.353, Counter: 120
Thread 1: 23:34:28.447, Counter: 121
Thread 1: 23:34:28.711, Counter: 122
Thread 2: 23:34:28.869, Counter: 122
Thread 1: 23:34:28.977, Counter: 123
Thread 3: 23:34:29.024, Counter: 123
Thread 1: 23:34:29.242, Counter: 124
Thread 2: 23:34:29.379, Counter: 124
Thread 1: 23:34:29.502, Counter: 125
Thread 1: 23:34:29.768, Counter: 126
Thread 2: 23:34:29.894, Counter: 126
Thread 3: 23:34:30.033, Counter: 126
Thread 1: 23:34:30.034, Counter: 127
Thread 1: 23:34:30.298, Counter: 128
Thread 2: 23:34:30.408, Counter: 128
Thread 1: 23:34:30.562, Counter: 129
Thread 1: 23:34:30.827, Counter: 130
Thread 2: 23:34:30.921, Counter: 130
Thread 3: 23:34:31.046, Counter: 130
Thread 1: 23:34:31.092, Counter: 131
Thread 1: 23:34:31.358, Counter: 132
Thread 2: 23:34:31.437, Counter: 132
Thread 1: 23:34:31.641, Counter: 133
Thread 1: 23:34:31.903, Counter: 134
Thread 2: 23:34:31.951, Counter: 134
Thread 3: 23:34:32.059, Counter: 134
Thread 1: 23:34:32.166, Counter: 135
Thread 1: 23:34:32.426, Counter: 136
Thread 2: 23:34:32.458, Counter: 136
Thread 1: 23:34:32.690, Counter: 137
Thread 1: 23:34:32.955, Counter: 138
Thread 2: 23:34:32.971, Counter: 138
Thread 3: 23:34:33.064, Counter: 138
Thread 1: 23:34:33.219, Counter: 139
Thread 2: 23:34:33.486, Counter: 139
Thread 1: 23:34:33.487, Counter: 140
